player,team_country,minutes,goals,assists,gk_games,gk_minutes,gk_clean_sheets
Mohamed Manai,Qatar,69.0,0.0,0.0,,,
Mohammed Muntari,Qatar,,,,,,
Ró-Ró,Qatar,270.0,0.0,0.0,,,
Salah Zakaria,Qatar,,,,,,
Sultan Al-Brake,Qatar,141.0,0.0,0.0,,,
Tahsin Jamshid,Qatar,,,,,,
Yusuf Abdurisag,Qatar,98.0,0.0,0.0,,,
Abdulelah Al-Amri,Saudi Arabia,239.0,1.0,0.0,,,
Abdullah Al-Hamdan,Saudi Arabia,71.0,0.0,0.0,,,
Abdullah Al-Khaibari,Saudi Arabia,180.0,0.0,0.0,,,
Ahmed Al-Kassar,Saudi Arabia,,,,,,
Alaa Al Hejji,Saudi Arabia,32.0,0.0,0.0,,,
Ali Lajami,Saudi Arabia,149.0,0.0,0.0,,,
Ali Majrashi,Saudi Arabia,,,,,,
Ayman Yahya,Saudi Arabia,,,,,,
Firas Al-Buraikan,Saudi Arabia,238.0,0.0,0.0,,,
Hassan Al Tambakti,Saudi Arabia,212.0,0.0,0.0,,,
Hassan Kadesh,Saudi Arabia,,,,,,
Jehad Thakri,Saudi Arabia,,,,,,
Khalid Al Ghannam,Saudi Arabia,1.0,0.0,0.0,,,
Mohamed Kanno,Saudi Arabia,225.0,0.0,0.0,,,
Mohammed Abu Al-Shamat,Saudi Arabia,136.0,0.0,0.0,,,
Mohammed Al-Owais,Saudi Arabia,270.0,0.0,0.0,3.0,270.0,1.0
Moteb Al-Harbi,Saudi Arabia,188.0,0.0,0.0,,,
Musab Al Juwayr,Saudi Arabia,152.0,0.0,0.0,,,
Nasser Al-Dawsari,Saudi Arabia,207.0,0.0,0.0,,,
Nawaf Al Aqidi,Saudi Arabia,,,,,,
Nawaf Boushal,Saudi Arabia,91.0,0.0,0.0,,,
Saleh Al-Shehri,Saudi Arabia,,,,,,
Salem Al-Dawsari,Saudi Arabia,245.0,0.0,0.0,,,
Saud Abdulhamid,Saudi Arabia,269.0,0.0,0.0,,,
Sultan Mendash,Saudi Arabia,65.0,0.0,0.0,,,
Ziyad Al Johani,Saudi Arabia,,,,,,
Aaron Hickey,Scotland,74.0,0.0,0.0,,,
Andy Robertson,Scotland,225.0,0.0,0.0,,,
Angus Gunn,Scotland,270.0,0.0,0.0,3.0,270.0,1.0
Anthony Ralston,Scotland,11.0,0.0,0.0,,,
Ben Gannon-Doak,Scotland,186.0,0.0,0.0,,,
Ché Adams,Scotland,145.0,0.0,0.0,,,
Craig Gordon,Scotland,,,,,,
Dominic Hyam,Scotland,,,,,,
Findlay Curtis,Scotland,9.0,0.0,0.0,,,
George Hirst,Scotland,,,,,,
Grant Hanley,Scotland,180.0,0.0,0.0,,,
Jack Hendry,Scotland,270.0,0.0,0.0,,,
John McGinn,Scotland,259.0,1.0,0.0,,,
John Souttar,Scotland,,,,,,
Kenny McLean,Scotland,118.0,0.0,0.0,,,
Kieran Tierney,Scotland,104.0,0.0,0.0,,,
Lawrence Shankland,Scotland,171.0,0.0,0.0,,,
Lewis Ferguson,Scotland,270.0,0.0,0.0,,,
Liam Kelly,Scotland,,,,,,
Lyndon Dykes,Scotland,36.0,0.0,0.0,,,
Nathan Patterson,Scotland,185.0,0.0,0.0,,,
Ross Stewart,Scotland,2.0,0.0,0.0,,,
Ryan Christie,Scotland,95.0,0.0,0.0,,,
Scott McKenna,Scotland,90.0,0.0,0.0,,,
Scott McTominay,Scotland,270.0,0.0,0.0,,,
Tyler Fletcher,Scotland,,,,,,
Abdoulaye Seck,Senegal,57.0,0.0,1.0,,,
Antoine Mendy,Senegal,,,,,,
Assane Diao,Senegal,10.0,0.0,0.0,,,
Bamba Dieng,Senegal,8.0,0.0,0.0,,,
Bara Sapoko Ndiaye,Senegal,26.0,0.0,0.0,,,
Cherif Ndiaye,Senegal,,,,,,
El Hadji Malick Diouf,Senegal,171.0,0.0,0.0,,,
Habib Diarra,Senegal,143.0,2.0,0.0,,,
Ibrahim Mbaye,Senegal,157.0,1.0,0.0,,,
Idrissa Gueye,Senegal,361.0,0.0,0.0,,,
Iliman Ndiaye,Senegal,114.0,1.0,2.0,,,
Ismail Jakobs,Senegal,219.0,0.0,0.0,,,
Ismaila Sarr,Senegal,364.0,4.0,1.0,,,
Kalidou Koulibaly,Senegal,161.0,0.0,0.0,,,
Krépin Diatta,Senegal,390.0,0.0,0.0,,,
Lamine Camara,Senegal,248.0,0.0,1.0,,,
Mamadou Sarr,Senegal,,,,,,
Mory Diaw,Senegal,238.0,0.0,0.0,3.0,238.0,1.0
Moussa Niakhaté,Senegal,390.0,0.0,1.0,,,
Nicolas Jackson,Senegal,234.0,0.0,1.0,,,
Pape Gueye,Senegal,234.0,2.0,1.0,,,
Pape Matar Sarr,Senegal,67.0,0.0,0.0,,,
Pathé Ciss,Senegal,184.0,0.0,0.0,,,
Sadio Mané,Senegal,362.0,0.0,1.0,,,
Yehvann Diouf,Senegal,,,,,,
Édouard Mendy,Senegal,152.0,0.0,0.0,2.0,152.0,0.0
Aubrey Modiba,South Africa,346.0,0.0,0.0,,,
Bradley Cross,South Africa,,,,,,
Evidence Makgopa,South Africa,215.0,0.0,0.0,,,
Ime Okon,South Africa,360.0,0.0,0.0,,,
Iqraam Rayners,South Africa,161.0,0.0,0.0,,,
Jayden Adams,South Africa,116.0,0.0,0.0,,,
Kamogelo Sebelebele,South Africa,7.0,0.0,0.0,,,
Khuliso Mudau,South Africa,360.0,0.0,0.0,,,
Khulumani Ndamane,South Africa,,,,,,
Lyle Foster,South Africa,55.0,0.0,0.0,,,
Mbekezeli Mbokazi,South Africa,360.0,0.0,0.0,,,
Nkosinathi Sibisi,South Africa,90.0,0.0,0.0,,,
Olwethu Makhanya,South Africa,,,,,,
Oswin Appollis,South Africa,255.0,0.0,0.0,,,
Relebohile Mofokeng,South Africa,169.0,0.0,0.0,,,
Ricardo Goss,South Africa,,,,,,
Ronwen Williams,South Africa,360.0,0.0,0.0,4.0,360.0,1.0
Samukele Kabini,South Africa,,,,,,
Sipho Chaine,South Africa,,,,,,
Sphephelo Sithole,South Africa,229.0,0.0,0.0,,,
Teboho Mokoena,South Africa,270.0,1.0,0.0,,,
Thabang Matuludi,South Africa,,,,,,
Thalente Mbatha,South Africa,260.0,0.0,0.0,,,
Thapelo Maseko,South Africa,242.0,1.0,0.0,,,
Themba Zwane,South Africa,23.0,0.0,0.0,,,
Tshepang Moremi,South Africa,34.0,0.0,1.0,,,
Aymeric Laporte,Spain,629.0,0.0,1.0,,,
Borja Iglesias,Spain,1.0,0.0,0.0,,,
Dani Olmo,Spain,417.0,0.0,2.0,,,
David Raya,Spain,,,,,,
Eric García,Spain,,,,,,
Fabián Ruiz Peña,Spain,260.0,1.0,0.0,,,
Ferrán Torres,Spain,229.0,0.0,1.0,,,
Gavi,Spain,76.0,0.0,0.0,,,
Joan García,Spain,,,,,,
Lamine Yamal,Spain,494.0,1.0,0.0,,,
Marc Cucurella,Spain,630.0,0.0,2.0,,,
Marc Pubill,Spain,1.0,0.0,0.0,,,
Marcos Llorente,Spain,187.0,0.0,1.0,,,
Martín Zubimendi,Spain,,,,,,
Mikel Merino,Spain,153.0,2.0,0.0,,,
Mikel Oyarzabal,Spain,540.0,5.0,1.0,,,
Nico Williams,Spain,67.0,0.0,0.0,,,
Pau Cubarsí,Spain,630.0,0.0,0.0,,,
Pedri,Spain,440.0,0.0,0.0,,,
Pedro Porro,Spain,443.0,2.0,0.0,,,
Rodri,Spain,626.0,0.0,0.0,,,
Unai Simón,Spain,630.0,0.0,0.0,7.0,630.0,6.0
Víctor Muñoz,Spain,,,,,,
Yéremy Pino,Spain,70.0,0.0,0.0,,,
Álex Baena,Spain,407.0,1.0,1.0,,,
Álex Grimaldo,Spain,,,,,,
Alexander Bernhardsson,Sweden,217.0,0.0,0.0,,,
Alexander Isak,Sweden,357.0,1.0,3.0,,,
Anthony Elanga,Sweden,217.0,2.0,0.0,,,
Benjamin Nygren,Sweden,130.0,0.0,0.0,,,
Besfort Zeneli,Sweden,60.0,0.0,0.0,,,
Carl Starfelt,Sweden,4.0,0.0,0.0,,,
Daniel Svensson,Sweden,98.0,0.0,0.0,,,
Elliot Stroud,Sweden,166.0,0.0,0.0,,,
Eric Smith,Sweden,,,,,,
Gabriel Gudmundsson,Sweden,330.0,0.0,0.0,,,
Gustaf Lagerbielke,Sweden,360.0,0.0,0.0,,,
Gustaf Nilsson,Sweden,2.0,0.0,0.0,,,
Herman Johansson,Sweden,,,,,,
Hjalmar Ekdal,Sweden,,,,,,
Isak Hien,Sweden,216.0,0.0,0.0,,,
Jacob Widell Zetterström,Sweden,180.0,0.0,0.0,2.0,180.0,0.0
Jesper Karlström,Sweden,138.0,0.0,0.0,,,
Ken Sema,Sweden,16.0,0.0,0.0,,,
Kristoffer Nordfeldt,Sweden,180.0,0.0,0.0,2.0,180.0,0.0
Lucas Bergvall,Sweden,181.0,0.0,1.0,,,
Mattias Svanberg,Sweden,16.0,1.0,0.0,,,
Taha Ali,Sweden,37.0,0.0,0.0,,,
Victor Lindelöf,Sweden,356.0,0.0,0.0,,,
Viktor Gyökeres,Sweden,360.0,1.0,2.0,,,
Viktor Johansson,Sweden,,,,,,
Yasin Ayari,Sweden,339.0,2.0,0.0,,,
Ardon Jashari,Switzerland,72.0,0.0,0.0,,,
Aurèle Amenda,Switzerland,,,,,,
Breel Embolo,Switzerland,501.0,2.0,2.0,,,
Cedric Itten,Switzerland,42.0,0.0,0.0,,,
Christian Fassnacht,Switzerland,6.0,0.0,0.0,,,
Dan Ndoye,Switzerland,406.0,2.0,0.0,,,
Denis Zakaria,Switzerland,357.0,0.0,0.0,,,
Djibril Sow,Switzerland,253.0,0.0,0.0,,,
Eray Cömert,Switzerland,31.0,0.0,0.0,,,
Fabian Rieder,Switzerland,302.0,0.0,0.0,,,
Granit Xhaka,Switzerland,600.0,1.0,0.0,,,
Gregor Kobel,Switzerland,600.0,0.0,0.0,6.0,600.0,2.0
Johan Manzambi,Switzerland,199.0,3.0,2.0,,,
Luca Jaquez,Switzerland,78.0,0.0,0.0,,,
Manuel Akanji,Switzerland,600.0,0.0,0.0,,,
Marvin Keller,Switzerland,,,,,,
Michel Aebischer,Switzerland,156.0,0.0,0.0,,,
Miro Muheim,Switzerland,87.0,0.0,0.0,,,
Nico Elvedi,Switzerland,600.0,0.0,0.0,,,
Noah Okafor,Switzerland,20.0,0.0,0.0,,,
Remo Freuler,Switzerland,592.0,0.0,0.0,,,
Ricardo Rodríguez,Switzerland,517.0,0.0,1.0,,,
Ruben Vargas,Switzerland,284.0,2.0,1.0,,,
Silvan Widmer,Switzerland,175.0,0.0,0.0,,,
Yvon Mvogo,Switzerland,,,,,,
Zeki Amdouni,Switzerland,73.0,0.0,0.0,,,
Adem Arous,Tunisia,,,,,,
Ali Abdi,Tunisia,269.0,0.0,0.0,,,
Anis Ben Slimane,Tunisia,240.0,0.0,0.0,,,
Aymen Dahmen,Tunisia,180.0,0.0,0.0,2.0,180.0,0.0
Dylan Bronn,Tunisia,45.0,0.0,0.0,,,
Elias Achouri,Tunisia,43.0,0.0,0.0,,,
Elias Saad,Tunisia,116.0,0.0,0.0,,,
Ellyes Skhiri,Tunisia,250.0,0.0,0.0,,,
Firas Chaouat,Tunisia,49.0,0.0,0.0,,,
Hadj Mahmoud,Tunisia,43.0,0.0,0.0,,,
Hannibal Mejbri,Tunisia,270.0,0.0,2.0,,,
Hazem Mastouri,Tunisia,89.0,1.0,0.0,,,
Ismaël Gharbi,Tunisia,127.0,0.0,0.0,,,
Khalil Ayari,Tunisia,,,,,,
Mohamed Amine Ben Hamida,Tunisia,202.0,0.0,0.0,,,
Montassar Talbi,Tunisia,270.0,0.0,0.0,,,
Mortadha Ben Ouanes,Tunisia,23.0,0.0,0.0,,,
Mouhib Chamakh,Tunisia,90.0,0.0,0.0,1.0,90.0,0.0
Moutaz Neffati,Tunisia,,,,,,
Omar Rekik,Tunisia,180.0,1.0,0.0,,,
Raed Chikhaoui,Tunisia,,,,,,
Rani Khedira,Tunisia,149.0,0.0,0.0,,,
Rayan Elloumi,Tunisia,,,,,,
Sabri Ben Hassen,Tunisia,,,,,,
Sebastian Tounekti,Tunisia,84.0,0.0,0.0,,,
Yan Valery,Tunisia,251.0,0.0,0.0,,,
Abdülkerim Bardakcı,Turkey,265.0,0.0,0.0,,,
Altay Bayındır,Turkey,,,,,,
Arda Güler,Turkey,270.0,1.0,0.0,,,
Barış Alper Yılmaz,Turkey,179.0,1.0,1.0,,,
Can Uzun,Turkey,38.0,0.0,1.0,,,
Deniz Gül,Turkey,37.0,0.0,0.0,,,
Eren Elmalı,Turkey,111.0,0.0,0.0,,,
Ferdi Kadioglu,Turkey,159.0,0.0,0.0,,,
Hakan Çalhanoğlu,Turkey,180.0,0.0,0.0,,,
Kaan Ayhan,Turkey,3.0,1.0,0.0,,,
Kenan Yıldız,Turkey,218.0,0.0,0.0,,,
Kerem Aktürkoğlu,Turkey,129.0,0.0,0.0,,,
Merih Demiral,Turkey,180.0,0.0,0.0,,,
Mert Günok,Turkey,,,,,,
Mert Müldür,Turkey,101.0,0.0,0.0,,,
Orkun Kökçü,Turkey,153.0,0.0,1.0,,,
Ozan Kabak,Turkey,90.0,0.0,0.0,,,
Oğuz Aydın,Turkey,89.0,0.0,0.0,,,
Salih Özcan,Turkey,100.0,0.0,0.0,,,
Samet Akaydın,Turkey,,,,,,
Uğurcan Çakır,Turkey,270.0,0.0,0.0,3.0,270.0,0.0
Yunus Akgün,Turkey,88.0,0.0,0.0,,,
Zeki Çelik,Turkey,163.0,0.0,0.0,,,
Çağlar Söyüncü,Turkey,7.0,0.0,0.0,,,
İrfan Can Kahveci,Turkey,1.0,0.0,0.0,,,
İsmail Yüksek,Turkey,139.0,0.0,0.0,,,
Alejandro Zendejas,United States,14.0,0.0,0.0,,,
Alex Freeman,United States,374.0,1.0,1.0,,,
Antonee Robinson,United States,348.0,0.0,0.0,,,
Auston Trusty,United States,101.0,1.0,0.0,,,
Brenden Aaronson,United States,76.0,0.0,0.0,,,
Chris Brady,United States,,,,,,
Chris Richards,United States,360.0,0.0,0.0,,,
Christian Pulisic,United States,223.0,0.0,1.0,,,
Cristian Roldan,United States,,,,,,
Folarin Balogun,United States,312.0,3.0,0.0,,,
Gio Reyna,United States,131.0,1.0,0.0,,,
Haji Wright,United States,2.0,0.0,0.0,,,
Joe Scally,United States,87.0,0.0,0.0,,,
Malik Tillman,United States,356.0,2.0,1.0,,,
Mark McKenzie,United States,90.0,0.0,0.0,,,
Matt Freese,United States,360.0,0.0,0.0,4.0,360.0,2.0
Matt Turner,United States,90.0,0.0,0.0,1.0,90.0,0.0
Max Arfsten,United States,1.0,0.0,0.0,,,
Miles Robinson,United States,90.0,0.0,0.0,,,
Ricardo Pepi,United States,204.0,0.0,0.0,,,
Sebastian Berhalter,United States,187.0,1.0,1.0,,,
Sergiño Dest,United States,297.0,0.0,0.0,,,
Tim Ream,United States,360.0,0.0,0.0,,,
Timothy Weah,United States,76.0,0.0,0.0,,,
Tyler Adams,United States,341.0,0.0,0.0,,,
Weston McKennie,United States,443.0,0.0,0.0,,,
Agustín Canobbio,Uruguay,224.0,1.0,0.0,,,
Brian Rodríguez,Uruguay,41.0,0.0,0.0,,,
Darwin Núñez,Uruguay,156.0,0.0,0.0,,,
Emiliano Martínez,Uruguay,,,,,,
Facundo Pellistri,Uruguay,,,,,,
Federico Valverde,Uruguay,236.0,0.0,0.0,,,
Federico Viñas,Uruguay,192.0,0.0,0.0,,,
Fernando Muslera,Uruguay,225.0,0.0,0.0,3.0,225.0,0.0
Giorgian de Arrascaeta,Uruguay,,,,,,
Guillermo Varela,Uruguay,270.0,0.0,0.0,,,
Joaquín Piquerez,Uruguay,,,,,,
José María Giménez,Uruguay,,,,,,
Juan Manuel Sanabria,Uruguay,204.0,0.0,0.0,,,
Manuel Ugarte,Uruguay,184.0,0.0,0.0,,,
Mathías Olivera,Uruguay,270.0,0.0,0.0,,,
Matías Viña,Uruguay,45.0,0.0,0.0,,,
Maxi Araújo,Uruguay,250.0,2.0,1.0,,,
Nicolás De La Cruz,Uruguay,86.0,0.0,0.0,,,
Rodrigo Aguirre,Uruguay,1.0,0.0,0.0,,,
Rodrigo Bentancur,Uruguay,270.0,0.0,0.0,,,
Rodrigo Zalazar,Uruguay,,,,,,
Ronald Araújo,Uruguay,,,,,,
Santiago Bueno,Uruguay,,,,,,
Santiago Mele,Uruguay,,,,,,
Sebastián Cáceres,Uruguay,270.0,0.0,0.0,,,
Sergio Rochet,Uruguay,45.0,0.0,0.0,1.0,45.0,0.0
Abbosbek Fayzullayev,Uzbekistan,220.0,1.0,0.0,,,
Abdukodir Khusanov,Uzbekistan,270.0,0.0,0.0,,,
Abdulla Abdullaev,Uzbekistan,180.0,0.0,0.0,,,
Abduvohid Nematov,Uzbekistan,180.0,0.0,0.0,2.0,180.0,0.0
Akmal Mozgovoy,Uzbekistan,216.0,0.0,1.0,,,
Avazbek Ulmasaliev,Uzbekistan,,,,,,
Aziz Gʻaniyev,Uzbekistan,122.0,0.0,0.0,,,
Azizbek Amonov,Uzbekistan,14.0,0.0,0.0,,,
Bekhruz Karimov,Uzbekistan,179.0,0.0,0.0,,,
Botirali Ergashev,Uzbekistan,,,,,,
Dostonbek Khamdamov,Uzbekistan,103.0,0.0,0.0,,,
Eldor Shomurodov,Uzbekistan,269.0,1.0,0.0,,,
Farrukh Sayfiev,Uzbekistan,45.0,0.0,0.0,,,
Igor Sergeev,Uzbekistan,28.0,0.0,0.0,,,
Jakhongir Urozov,Uzbekistan,95.0,0.0,0.0,,,
Jamshid Iskanderov,Uzbekistan,9.0,0.0,0.0,,,
Khojiakbar Alijonov,Uzbekistan,135.0,0.0,0.0,,,
Odiljon Hamrobekov,Uzbekistan,77.0,0.0,0.0,,,
Oston Urunov,Uzbekistan,63.0,0.0,0.0,,,
Otabek Shukurov,Uzbekistan,237.0,0.0,0.0,,,
Ruslanbek Jiyanov,Uzbekistan,1.0,0.0,0.0,,,
Rustam Ashurmatov,Uzbekistan,256.0,0.0,0.0,,,
Sherzod Esanov,Uzbekistan,1.0,0.0,0.0,,,
Sherzod Nasrullaev,Uzbekistan,180.0,0.0,0.0,,,
Umar Eshmurodov,Uzbekistan,,,,,,
Utkir Yusupov,Uzbekistan,90.0,0.0,0.0,1.0,90.0,0.0
